AAB;Average At Best
AAF;Always and Forever
AAK;Alive And Kicking
AAMOF;As A Matter Of Fact
AAP;Always A Pleasure
AAR;At Any Rate
AARP;American Association of Retired Persons
AAWY;And Also With You
AAYF;As Always, Your Friend
AB;Adult Baby
ABD;Already Been Done
ABDL;Adult Baby Diaper Lover
ABF;All But Face
ABH;Actual Bodily Harm
ABN;Asshole By Nature
ABP;Already Been Posted
ABS;Absolutely
ABT;About
ABT2;About To
AC;Air Conditioning
AC/DC;Rock Band
ACAB;All Cops are Bastards
ACC;Actually
ACCT;Account
ACE;Excellent
ACG;Asian Cowgirl
ACK;Acknowledgement
ACLU;American Civil Liberties Union
ACME;A Company that Makes Everything
ACORN;Small penis
ACP;Automatic Colt Pistol
ACU;Army Combat Uniform
ADD;Attention Deficit Disorder
ADDY;Address
ADGTH;All Dogs Go To Heaven
ADHD;Attention Deficit Hyperactivity Disorder
ADL;All Day Long
ADMIN;Administrator
ADN;Any Day Now
ADS;Aim(ing) Down Sights
AEAE;And Ever And Ever
AEAP;As Early As Possible
AFAIAC;As Far As I Am Concerned
AFAIC;As Far As I'm Concerned
AFAICS;As Far As I Can See
AFAICT;As Far As I Can Tell
AFAIK;As Far As I Know
AFAIR;As Far As I Remember
AFAP;As Far As Possible
AFC;Away From Computer
AFD;All Fucking Day
AFF;Affirmative
AFFA;Angels Forever, Forever Angels
AFGO;Another Fucking Growth Opportunity
AFK;Away From Keyboard
AFN;that's All For Now
AFS;Always, Forever and Seriously
AFT;About fucking time
AFU;All fucked up
AG;Aggressive
AGC;Automatic Gain Control
AGGY;Aggitated
AGH;Ain't Gonna Happen
AGM;Annual General Meeting
AGP;Accelerated Graphics Port
AGRO;angry
AGW;All Going Well
AH;Asshole
AHT;Out
AI;As If
AIDS;Acquired Immune Deficiency Syndrome
AIGF;All In Good Fun
AIGHT;All right
AII;Alright
AIIC;As If I Care
AIIT;Alright
AIKRN;All I know right now
AIM;AOL Instant Messanger
AINEC;And It's Not Even Close
AIO;All In One
AIS;Ass In Seat
AISB;As I Said before
AISI;As I See it
AIT;Alright
AITE;Alright
AITR;Adult In The Room
AITYD;And I Think You Do
AIUI;As I Understand it
AJ;Apple Juice
AK;AK-47 Assault Rifle
AK47;Assault rifle
AKA;Also Known As
AKTF;Always Keep the Faith
ALA;In the style of
ALF;Animal Liberation Front
ALG;Ain't Life Grand
ALI;Best Friend
ALIE;Init
ALIHAL;At Least I Have A Life
ALKQN;Almighty Latin King and Queen Nation
ALOB;A Load Of Bollocks
ALOL;Actually lol
ALOTBSOL;Always Look On The Bright Side Of Life
ALPHA;Head person of a group
ALRATO;Later
ALU;Arithmetic Logic Unit
AMA;Ask Me Anything
AMAP;As Much As Possible
AMIGO;FRIEND
AMG;Ah My God
AMIRITE;Am I Right?
AML;All My Love
AMOG;Alpha Male Of Group
AMV;Anime Music Video
AMZ;Amazing
ANC;African National Congress
ANFAWFOS;And Now For A Word From Our Sponsor
ANFSCD;And Now For Something Completely Different
ANON;Unknown person
ANS;Answer
ANTM;America's Next Top Model
ANY1;Anyone
ANYWHO;Anyhow
AO;Adults Only
AOB;Any Other Business
AOE;Area Of Effect
AOK;All OK
AOTA;All Of The Above
AOYP;Angel on Your Pillow
AP;Associated Press
APB;All Points Bulletin
APC;Armoured Personnel Carrier
APE;Mad
API;Application Programming Interface
APM;Actions Per Minute
APO;Authorized Personnel Only
APOS;Annoying Piece Of Shit
APP;Application
APPROX;Approximately
APPS;Applications
APR;Annual Percentage Rate
APU;As Per Usual
AR;Assault Rifle
ARD;Alright
ARG;Alternate Reality Gaming
ARIGATO;Thank You
ARK;Act of Random Kindness
ARSE;Ass
ARSE BANDIT;Homosexual
ARVO;Afternoon
ASA;And So On
ASAFP;As Soon As Fucking Possible
ASAIC;As Soon As I Can
ASAP;As Soon as Possible
ASAS;As soon as sensible
ASBO;Anti Social Behaviour Order
"ASDFGHJKL;";I'm bored
ASF;And So Forth
ASL;Age, Sex, Location
ASLP;Age, Sex, Location, Picture?
ASO;I see
ASP;At Some Point
ATA;Actual Time of Arrival
ATB;All The Best
ATC;Air Traffic Control
ATD;Attention to Detail
ATEOTD;At The End Of The Day
ATF;All Time Favorite
ATK;Attack
ATM;At The Moment
ATMO;According To My Opinion
ATN;Any Time Now
ATQ;Answer The Question
ATST;At The Same Time
ATTN;Attention
ATTT;Ain't That The Truth
ATV;All Terrain Vehicle
ATVB;All The Very Best
ATW;All The Way
ATYS;Anything You Say
AU;Alternate Universe
AUO;I don't know
AVGN;Angry Video Game Nerd
AVO;Afternooon
AVPM;A Very Potter Musical
AW;Anyway
AWA;As Well As
AWHFY;Are We Having Fun Yet
AWK;Awkward
AWNP;All Work, No Play
AWOL;Absent Without Leave
AWP;Arctic Warfare Police sniper rifle
AWS;As We Speak
AWSM;Awesome
AWW;Any Which Way
AYB;All your base
AYBABTU;All Your Base Are Belong To Us
AYBRB2U;All your base are belong to us
AYCS;As You Can See
AYE;Yes
AYEC;At Your Earliest Convenience
AYFKM;Are you fucking kidding me?
AYFR;Are You For Real?
AYFT;Are You Free Today?
AYK;As You Know
AYKM;Are You Kidding Me?
AYL;Are You Listening?
AYO;Hey, You
AYOR;At Your Own Risk
AYPI;And Your Point Is?
